# Region type : patch inlet
# Faces       : 460
# Area        : 1.000000e-04
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
0.00915751    	2.931500e+02
0.00995707    	2.931500e+02
0.0108546     	2.931500e+02
0.0118742     	2.931500e+02
0.0130391     	2.931500e+02
0.0143761     	2.931500e+02
0.0159173     	2.931500e+02
0.0177011     	2.931500e+02
0.0197762     	2.931500e+02
0.0222032     	2.931500e+02
0.0250607     	2.931500e+02
0.028452      	2.931500e+02
0.032517      	2.931500e+02
0.0373966     	2.931500e+02
0.0432557     	2.931500e+02
0.0502865     	2.931500e+02
0.0587187     	2.931500e+02
0.0678862     	2.931500e+02
0.0770537     	2.931500e+02
0.0862212     	2.931500e+02
0.0953887     	2.931500e+02
0.104556      	2.931500e+02
0.113724      	2.931500e+02
0.122891      	2.931500e+02
0.132059      	2.931500e+02
0.141226      	2.931500e+02
0.150394      	2.931500e+02
0.159561      	2.931500e+02
0.168729      	2.931500e+02
0.177896      	2.931500e+02
0.187064      	2.931500e+02
0.196231      	2.931500e+02
0.205399      	2.931500e+02
0.214566      	2.931500e+02
0.223734      	2.931500e+02
0.232901      	2.931500e+02
0.242069      	2.931500e+02
0.251236      	2.931500e+02
0.260404      	2.931500e+02
0.269571      	2.931500e+02
0.278739      	2.931500e+02
0.287906      	2.931500e+02
0.297074      	2.931500e+02
0.306241      	2.931500e+02
0.315409      	2.931500e+02
0.324576      	2.931500e+02
0.333744      	2.931500e+02
0.342911      	2.931500e+02
0.352079      	2.931500e+02
0.361246      	2.931500e+02
0.370414      	2.931500e+02
0.379581      	2.931500e+02
0.388749      	2.931500e+02
0.397916      	2.931500e+02
0.407084      	2.931500e+02
0.416251      	2.931500e+02
0.425419      	2.931500e+02
0.434586      	2.931500e+02
0.443754      	2.931500e+02
0.452921      	2.931500e+02
0.462089      	2.931500e+02
0.471256      	2.931500e+02
0.480424      	2.931500e+02
0.489591      	2.931500e+02
0.498759      	2.931500e+02
0.507926      	2.931500e+02
0.517094      	2.931500e+02
0.526261      	2.931500e+02
0.535429      	2.931500e+02
0.544596      	2.931500e+02
0.553764      	2.931500e+02
0.562931      	2.931500e+02
0.572099      	2.931500e+02
0.581266      	2.931500e+02
0.590434      	2.931500e+02
0.599601      	2.931500e+02
0.608769      	2.931500e+02
0.617936      	2.931500e+02
0.627104      	2.931500e+02
0.636271      	2.931500e+02
0.645439      	2.931500e+02
0.654606      	2.931500e+02
0.663774      	2.931500e+02
0.672941      	2.931500e+02
0.682109      	2.931500e+02
0.691276      	2.931500e+02
0.700444      	2.931500e+02
0.709611      	2.931500e+02
0.718779      	2.931500e+02
0.727946      	2.931500e+02
0.737114      	2.931500e+02
0.746281      	2.931500e+02
0.755449      	2.931500e+02
0.764616      	2.931500e+02
0.773784      	2.931500e+02
0.782951      	2.931500e+02
0.792119      	2.931500e+02
0.801286      	2.931500e+02
0.810454      	2.931500e+02
0.819621      	2.931500e+02
0.828789      	2.931500e+02
0.837956      	2.931500e+02
0.847124      	2.931500e+02
0.856291      	2.931500e+02
0.865459      	2.931500e+02
0.874626      	2.931500e+02
0.883794      	2.931500e+02
0.892961      	2.931500e+02
0.902129      	2.931500e+02
0.911296      	2.931500e+02
0.920464      	2.931500e+02
0.929631      	2.931500e+02
0.938799      	2.931500e+02
0.947966      	2.931500e+02
0.957134      	2.931500e+02
0.966301      	2.931500e+02
0.975469      	2.931500e+02
0.984636      	2.931500e+02
0.993804      	2.931500e+02
1.00297       	2.931500e+02
1.01214       	2.931500e+02
1.02131       	2.931500e+02
1.03047       	2.931500e+02
1.03964       	2.931500e+02
1.04881       	2.931500e+02
1.05798       	2.931500e+02
1.06714       	2.931500e+02
1.07631       	2.931500e+02
1.08548       	2.931500e+02
1.09465       	2.931500e+02
1.10381       	2.931500e+02
1.11298       	2.931500e+02
1.12215       	2.931500e+02
1.13132       	2.931500e+02
1.14048       	2.931500e+02
1.14965       	2.931500e+02
1.15882       	2.931500e+02
1.16799       	2.931500e+02
1.17715       	2.931500e+02
1.18632       	2.931500e+02
1.19549       	2.931500e+02
1.20466       	2.931500e+02
1.21382       	2.931500e+02
1.22299       	2.931500e+02
1.23216       	2.931500e+02
1.24133       	2.931500e+02
1.25049       	2.931500e+02
1.25966       	2.931500e+02
1.26883       	2.931500e+02
1.278         	2.931500e+02
1.28716       	2.931500e+02
1.29633       	2.931500e+02
1.3055        	2.931500e+02
1.31467       	2.931500e+02
1.32383       	2.931500e+02
1.333         	2.931500e+02
1.34217       	2.931500e+02
1.35134       	2.931500e+02
1.3605        	2.931500e+02
1.36967       	2.931500e+02
1.37884       	2.931500e+02
1.38801       	2.931500e+02
1.39717       	2.931500e+02
1.40634       	2.931500e+02
1.41551       	2.931500e+02
1.42468       	2.931500e+02
1.43384       	2.931500e+02
1.44301       	2.931500e+02
1.45218       	2.931500e+02
1.46135       	2.931500e+02
1.47051       	2.931500e+02
1.47968       	2.931500e+02
1.48885       	2.931500e+02
1.49802       	2.931500e+02
1.50718       	2.931500e+02
1.51635       	2.931500e+02
1.52552       	2.931500e+02
1.53469       	2.931500e+02
1.54385       	2.931500e+02
1.55302       	2.931500e+02
1.56219       	2.931500e+02
1.57136       	2.931500e+02
1.58052       	2.931500e+02
1.58969       	2.931500e+02
1.59886       	2.931500e+02
1.60803       	2.931500e+02
1.61719       	2.931500e+02
1.62636       	2.931500e+02
1.63553       	2.931500e+02
1.6447        	2.931500e+02
1.65386       	2.931500e+02
1.66303       	2.931500e+02
1.6722        	2.931500e+02
1.68137       	2.931500e+02
1.69053       	2.931500e+02
1.6997        	2.931500e+02
1.70887       	2.931500e+02
1.71804       	2.931500e+02
1.7272        	2.931500e+02
1.73637       	2.931500e+02
1.74554       	2.931500e+02
1.75471       	2.931500e+02
1.76387       	2.931500e+02
1.77304       	2.931500e+02
1.78221       	2.931500e+02
1.79138       	2.931500e+02
1.80054       	2.931500e+02
1.80971       	2.931500e+02
1.81888       	2.931500e+02
1.82805       	2.931500e+02
1.83721       	2.931500e+02
1.84638       	2.931500e+02
1.85555       	2.931500e+02
1.86472       	2.931500e+02
1.87388       	2.931500e+02
1.88305       	2.931500e+02
1.89222       	2.931500e+02
1.90139       	2.931500e+02
1.91055       	2.931500e+02
1.91972       	2.931500e+02
1.92889       	2.931500e+02
1.93806       	2.931500e+02
1.94722       	2.931500e+02
1.95639       	2.931500e+02
1.96556       	2.931500e+02
1.97473       	2.931500e+02
1.98389       	2.931500e+02
1.99306       	2.931500e+02
2.00223       	2.931500e+02
2.0114        	2.931500e+02
2.02056       	2.931500e+02
2.02973       	2.931500e+02
2.0389        	2.931500e+02
2.04807       	2.931500e+02
2.05723       	2.931500e+02
2.0664        	2.931500e+02
2.07557       	2.931500e+02
2.08474       	2.931500e+02
2.0939        	2.931500e+02
2.10307       	2.931500e+02
2.11224       	2.931500e+02
2.12141       	2.931500e+02
2.13057       	2.931500e+02
2.13974       	2.931500e+02
2.14891       	2.931500e+02
2.15808       	2.931500e+02
2.16724       	2.931500e+02
2.17641       	2.931500e+02
2.18558       	2.931500e+02
2.19475       	2.931500e+02
2.20391       	2.931500e+02
2.21308       	2.931500e+02
2.22225       	2.931500e+02
2.23142       	2.931500e+02
2.24058       	2.931500e+02
2.24975       	2.931500e+02
2.25892       	2.931500e+02
2.26809       	2.931500e+02
2.27725       	2.931500e+02
2.28642       	2.931500e+02
2.29559       	2.931500e+02
2.30476       	2.931500e+02
2.31392       	2.931500e+02
2.32309       	2.931500e+02
2.33226       	2.931500e+02
2.34143       	2.931500e+02
2.35059       	2.931500e+02
2.35976       	2.931500e+02
2.36893       	2.931500e+02
2.3781        	2.931500e+02
2.38726       	2.931500e+02
2.39643       	2.931500e+02
2.4056        	2.931500e+02
2.41477       	2.931500e+02
2.42393       	2.931500e+02
2.4331        	2.931500e+02
2.44227       	2.931500e+02
2.45144       	2.931500e+02
2.4606        	2.931500e+02
2.46977       	2.931500e+02
2.47894       	2.931500e+02
2.48811       	2.931500e+02
2.49727       	2.931500e+02
2.50644       	2.931500e+02
2.51561       	2.931500e+02
2.52478       	2.931500e+02
2.53394       	2.931500e+02
2.54311       	2.931500e+02
2.55228       	2.931500e+02
2.56145       	2.931500e+02
2.57061       	2.931500e+02
2.57978       	2.931500e+02
2.58895       	2.931500e+02
2.59812       	2.931500e+02
2.60728       	2.931500e+02
2.61645       	2.931500e+02
2.62562       	2.931500e+02
2.63479       	2.931500e+02
2.64395       	2.931500e+02
2.65312       	2.931500e+02
2.66229       	2.931500e+02
2.67146       	2.931500e+02
2.68062       	2.931500e+02
2.68979       	2.931500e+02
2.69896       	2.931500e+02
2.70813       	2.931500e+02
2.71729       	2.931500e+02
2.72646       	2.931500e+02
2.73563       	2.931500e+02
2.7448        	2.931500e+02
2.75396       	2.931500e+02
2.76313       	2.931500e+02
2.7723        	2.931500e+02
2.78147       	2.931500e+02
2.79063       	2.931500e+02
2.7998        	2.931500e+02
2.80897       	2.931500e+02
2.81814       	2.931500e+02
2.8273        	2.931500e+02
2.83647       	2.931500e+02
2.84564       	2.931500e+02
2.85481       	2.931500e+02
2.86397       	2.931500e+02
2.87314       	2.931500e+02
2.88231       	2.931500e+02
2.89148       	2.931500e+02
2.90064       	2.931500e+02
2.90981       	2.931500e+02
2.91898       	2.931500e+02
2.92815       	2.931500e+02
2.93731       	2.931500e+02
2.94648       	2.931500e+02
2.95565       	2.931500e+02
2.96482       	2.931500e+02
2.97398       	2.931500e+02
2.98315       	2.931500e+02
2.99232       	2.931500e+02
3.00149       	2.931500e+02
3.01065       	2.931500e+02
3.01982       	2.931500e+02
3.02899       	2.931500e+02
3.03816       	2.931500e+02
3.04732       	2.931500e+02
3.05649       	2.931500e+02
3.06566       	2.931500e+02
3.07483       	2.931500e+02
3.08399       	2.931500e+02
3.09316       	2.931500e+02
3.10233       	2.931500e+02
3.1115        	2.931500e+02
3.12066       	2.931500e+02
3.12983       	2.931500e+02
3.139         	2.931500e+02
3.14817       	2.931500e+02
3.15733       	2.931500e+02
3.1665        	2.931500e+02
3.17567       	2.931500e+02
3.18484       	2.931500e+02
3.194         	2.931500e+02
3.20317       	2.931500e+02
3.21234       	2.931500e+02
3.22151       	2.931500e+02
3.23067       	2.931500e+02
3.23984       	2.931500e+02
